ID,Holder,Number,EIngebaut (von oben),Position,Formula,Minerale,Description,Comment,Referenz,SiO2,TiO2,Al2O3,Cr2O3,CrO3,Fe2O3,FeO,NiO,MgO,MnO,CaO,Na2O,K2O,H2O,Li2O,BeO,CO2,P2O5,SO3,ClO,V2O5,CoO,ZnO,As2O3,Rb2O,SrO,Y2O3,ZrO2,NbO2,SnO2,Cs2O,BaO,WO3,REE2O3,Sc2O3 ,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,HfO2,PbO,ThO2,UO2,U3O8,Si,Mg,Fe,Ca,B,N,Na,Ni,Ti,Mn,F,Li,S,C,P,Cl,Co,Cu,Zn,An,Cd,Sc,Cr,Pt,Tb,Hf,Nb,Ce,Cs,Ga,Be,Ag,Ru,As,Se,Al,Ge,In,Br,Ir,Mo,Sn,Sb,Dy,Pd,Er,Ta,Re,Sr,Rh,Te,Au,I,O,Hg,La,Tl,Pb,Bi,Ba,V,W,Y,Zr,Total,cps/nA,TAP1,TAPL2,/,TAPL4,/,,PET1,PETL2,PETL3,/,PETH5,,/,/,LIFL3,/,LIFH5,sonstige Kristalle
45,Std 1,18,nein,,,Olivine,"Fo90, San Carlos",,"Smithsonian, USNM 111312/444",40.81,,,,,,9.55,0.37,49.42,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.29,,,,,,,,,,,,,,,,,,,
46,Std 1,19,nein,,,Pyrop,Kakanui,,"Smithsonian, USNM 143968",41.46,0.47,23.73,,,,10.68,,18.51,0.28,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.30,,,,,,,,,,,,,,,,,,,
47,Std 1,20,nein,,,Garnet,Roberts Victor,,"Smithsonian, USNM 87375",39.47,0.39,22.27,,,2.77,13.76,,6.55,0.59,14.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.19,,,,,,,,,,,,,,,,,,,
48,Std 1,21,nein,,,Garnet,Roberts Victor,,"Smithsonian, USNM 110752",40.16,0.35,22.70,,,2.17,9.36,,7.17,0.19,18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.22,,,,,,,,,,,,,,,,,,,
49,Std 1,22,nein,,,Scapolite,Meionite,,"Smithsonian, USNM R6600-1",49.78,,25.05,,,,0.17,,,,13.58,5.20,0.94,0.21,,,2.50,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.18,,,,,,,,,,,,,,,,,,,
50,Std 1,23,nein,,,Osumilit,,,"Smithsonian, USNM 143967",60.20,0.18,22.60,,,,6.38,,5.83,,,0.39,4.00,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.60,,,,,,,,,,,,,,,,,,,
51,Std 1,24,nein,,,,leer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Std 1,25,nein,,,Dolomit,,,"Smithsonian, USNM R10057",,,,,,,,,22.04,,30.56,,,,,,46.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.53,,,,,,,,,,,,,,,,,,,
53,Std 1,26,nein,,,Calcit,,,"Smithsonian, USNM 136321",,,,,,,,,,,56.10,,,,,,44.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.11,,,,,,,,,,,,,,,,,,,
54,Std 1,27,nein,,,Siderit,,,"Smithsonian, USNM R2460",,,,,,,59.08,,,2.95,,,,,,,37.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.91,,,,,,,,,,,,,,,,,,,
55,Std 1,28,nein,,,Strontianit,,,"Smithsonian, USNM R10065",,,,,,,1.90,,,,,,,,,,30.23,,,,,,,,,67.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.80,,,,,,,,,,,,,,,,,,,
