ID,Holder,Number,EIngebaut (von oben),Position,Formula,Minerale,Description,Comment,Referenz,SiO2,TiO2,Al2O3,Cr2O3,CrO3,Fe2O3,FeO,NiO,MgO,MnO,CaO,Na2O,K2O,H2O,Li2O,BeO,CO2,P2O5,SO3,ClO,V2O5,CoO,ZnO,As2O3,Rb2O,SrO,Y2O3,ZrO2,NbO2,SnO2,Cs2O,BaO,WO3,REE2O3,Sc2O3 ,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,HfO2,PbO,ThO2,UO2,U3O8,Si,Mg,Fe,Ca,B,N,Na,Ni,Ti,Mn,F,Li,S,C,P,Cl,Co,Cu,Zn,An,Cd,Sc,Cr,Pt,Tb,Hf,Nb,Ce,Cs,Ga,Be,Ag,Ru,As,Se,Al,Ge,In,Br,Ir,Mo,Sn,Sb,Dy,Pd,Er,Ta,Re,Sr,Rh,Te,Au,I,O,Hg,La,Tl,Pb,Bi,Ba,V,W,Y,Zr,Total,cps/nA,TAP1,TAPL2,/,TAPL4,/,,PET1,PETL2,PETL3,/,PETH5,,/,/,LIFL3,/,LIFH5,sonstige Kristalle
267,3R,55,nein,,Fe,Metall,,"RFA Standard, Flank Method ",in House STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.998,,,,,,,,,,,,,,,,,,,
268,3R,56,ja,C10,Co,Metall,,,P&H Developments (Tim Hopkins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
269,3R,56,nein,,Co,Metall,,,P&H Developments (Tim Hopkins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
270,3R,58,ja,A8,,Turmalin,SY309,,"Marschall et al. 2004, Marschall et al. 2006",,,,,,3.98,5.5,,6.17,,10.9,8.14,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.77,,,,,,,,,,,,,,,,,,,
271,3R,59,ja,C5,,Spinel,KLB8315,,Wood & Virgo 1998,0.04,0.11,58.61,8.97,,,10.34,0.38,20.72,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.26,,,,,,,,,,,,,,,,,,,
272,3R,60,ja,B5,,Spinel,KLB8316,,Wood & Virgo 1998,0.11,0.54,33.68,32.6,,,14.97,0.28,16.94,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.34,,,,,,,,,,,,,,,,,,,
273,3R,61,ja,A5,,Spinel,KLB8311,,Wood & Virgo 1998,0.08,0.05,25.85,42.98,,,14.6,0.14,16.00,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.86,,,,,,,,,,,,,,,,,,,
274,3R,62,ja,C6,,Spinel,KLB8305,,Wood & Virgo 1998,0.04,0.08,57.04,9.80,,,10.75,0.44,21.41,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.66,,,,,,,,,,,,,,,,,,,
275,3R,63,ja,B6,,Spinel,MBR8309,,Wood & Virgo 1998,0.08,0.14,52.43,13.10,,,11.79,0.30,20.52,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.46,,,,,,,,,,,,,,,,,,,
276,3R,64,ja,A6,,Spinel,Mo-4334-14,,Wood & Virgo 1998,0.11,0.22,64.36,3.76,,,10.71,0.49,20.39,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.15,,,,,,,,,,,,,,,,,,,
277,3R,65,ja,S4,Fe,,,"Flank Method, RFA Standard",in house STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.998,,,,,,,,,,,,,,,,,,,
278,3R,66,ja,B10,Pb,Metall,,RFA Standard ,in house STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9999,,,,,,,99.9999,,,,,,,,,,,,,,,,,,,
279,3R,67,ja,A10,Sn,Metall,,RFA Standard ,in house STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.998,,,,,,,,,,,,,,,,,,,,,,,99.998,,,,,,,,,,,,,,,,,,,
280,3R,68,ja,C7,,Rutile,sy Rt (synthetic),,"Luvizotto et al. 2008, T. Zack et al. 2001",,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
281,3R,69,ja,B7,,Rutile,R10b,"EPMA-Göttingen, ","Luvizotto et al. 2008, T. Zack et al. 2001",,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.424,,,,,,,,,,,,,,,,,,,,0.0716,,,,0.2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0811,99.9631,,,,,,,,,,,,,,,,,,,
282,3R,70,ja,A7,,Rutile,R13,,Thomas Zack persönliche Auskunft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3R,71,ja,C2,,Olivine,SC/KA bzw SC1,,Köhler and Brey 1990 ,40.42,,,,,,9.58,0.32,48.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.31,,,,,,,,,,,,,,,,,,,
284,3R,72,ja,B2,,Olivine,MongOL Sh11-2,,Batanova et al. 2015,40.74,0.006,0.046,0.018,,,10.17,0.359,48.79,0.144,0.096,0.017,,,,,,0.015,,,,0.018,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.493,,,,,,,,,,,,,,,,,,,
285,3R,73,ja,Y3,,Garnet ,BH grt,Flank Method,Jannes (Binck) König Masterarbeit ,41.68,0.61,21.21,2.08,,0.90,7.35,0.03,20.57,0.30,4.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.27,,,,,,,,,,,,,,,,,,,
286,3R,74,ja,Z3,,Garnet ,GM grt ,Flank Method,Jannes (Binck) König Masterarbeit ,39.19,0.06,22.74,0.04,,0.75,23.82,0.01,9.91,0.65,3.96,0.03,0.02,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.10,,,,,,,,,,,,,,,,,,,
287,3R,75,ja,Q3,,Garnet ,UA5,Flank Method,in house Standards (Stachel/Creighton),41.37,0.71,19.29,4.33,,,8.19,0.01,19.96,0.32,5.22,0.06,0.001,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,,,,,,,,,,,,
288,3R,76,ja,R3,,Garnet ,UA10,Flank Method,in house Standards (Stachel/Creighton),41.5,0.06,20.2,4.92,,,7.72,0.01,19.91,0.4,4.99,0.29,0.001,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.78,,,,,,,,,,,,,,,,,,,
289,3R,77,ja,S3,,Garnet ,UA17,Flank Method,in house Standards (Stachel/Creighton),41.1,0.02,18.93,6.7,,,7.88,0.01,19.99,0.48,4.18,0.2,0.001,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,,,,,,,,,,,,
290,3R,78,ja,T3,,Garnet ,Damknolle,Flank Method,Rankenburg et al. 2004,39.73,0.36,22.56,0.01,,0.77,18.65,,10.73,0.55,7.31,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.25,,,,,,,,,,,,,,,,,,,
291,3R,79,ja,T1,,Garnet ,UA13,Flank Method,in house Standards (Stachel/Creighton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,3R,80,ja,R10,,Garnet ,Alm_O,Flank Method,"McGuire, Smithsonian, NMNH 112140",22.61,4.69,18.9,7.02,,7.82,22.11,,7.36,4.02,3.57,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.52,,,,,,,,,,,,,,,,,,,
293,3R,81,ja,X2,,Garnet ,HE_1,Flank Method,Darby Dyar et al. 2012,39.34,0.07,22.48,0.21,,21.4,,,11.29,0.46,5.25,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.61,,,,,,,,,,,,,,,,,,,
294,3R,82,ja,Y2,,Garnet ,AND1,Flank Method,Darby Dyar,35.41,,0.55,,,30.51,,,0.13,1.13,32.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.21,,,,,,,,,,,,,,,,,,,
295,3R,83,ja,Z2,,Garnet ,grt Diavik,Flank Method,Greg Yaxley pers. com. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,3R,84,ja,A9,Mo,,Mo-Blende TEM; halbiert und gefaltet,metall,in house STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
297,3R,85,nein,,,Sidert,,,"Jarosewich Standard, Smithsonian, USNM R-2460",,,,,,,59.08,,,2.95,,,,,,,37.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.91,,,,,,,,,,,,,,,,,,,
298,3R,86,ja,B8,LaF3,,,stöchiometrisch berechnet,Geohysical Lab (receive 2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9,,,,,,,,,99.99,,,,,,,,,,,,,,,,,,,
299,3R,87,ja,U3,,Garnet ,Mir1,Flank Method,Rankenburg et al. 2004,41.72,0.4,23.65,0.01,,,11.06,,17.54,0.35,5.52,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.30,,,,,,,,,,,,,,,,,,,
300,3R,88,ja,T2,,Garnet ,Mir13,Flank Method,Rankenburg et al. 2004,40.73,0.47,23.3,,,0.87,12.88,,15.74,0.38,6.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.45,,,,,,,,,,,,,,,,,,,
301,3R,89,ja,U2,,Garnet ,Mir2,Flank Method,Rankenburg et al. 2004,41.23,0.4,23.39,,,0.1,12.76,0.01,16.28,0.37,5.76,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.34,,,,,,,,,,,,,,,,,,,
302,3R,90,ja,V2,,Garnet ,Mir23,Flank Method,Rankenburg et al. 2004,41.19,0.42,23.63,0.01,,0.64,10.05,0.01,18.12,0.34,5.38,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.84,,,,,,,,,,,,,,,,,,,
303,3R,91,ja,W2,,Garnet ,KerGB,Flank Method,Rankenburg et al. 2004,41.65,0.38,23.64,0.1,,0.13,10.04,0.01,18.57,0.32,5.15,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.05,,,,,,,,,,,,,,,,,,,
304,3R,92,ja,L3,,Diopside,,,"Jarosewich Standard, Smithsonian, NMNH 117733",54.87,,0.11,,,,0.24,,18.3,0.04,25.63,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.53,,,,,,,,,,,,,,,,,,,
305,3R,93,nein,,Cr2O3,,,,"P&H Developments (Tim Hopkins), STDB 3",,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
306,3R,94,ja,Z4,,Skiagit,"N-125, Novosibirsk",Flank Method,"in house Standard, Alex Doroshev",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,3R,95,ja,D4,,Pyrope,Glass,stöchiometrisch berechnet,Geohysical Lab (receive 2018),44.71,,25.29,,,,,,30.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
308,3R,96,ja,K3,SrTiO3,,,,"P&H Developments (Tim Hopkins), STDB 6",,43.53,,,,,,,,,,,,,,,,,,,,,,,,56.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
309,3R,97,ja,K4,ZnO,,,,"P&H Developments (Tim Hopkins), STDB 7",,,,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90,,,,,,,,,,,,,,,,,,,
310,3R,98,ja,J2,NiO,,,,"P&H Developments (Tim Hopkins), STDB 5",,,,,,,,99.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.999,,,,,,,,,,,,,,,,,,,
311,3R,99,ja,K10,MnTiO3,,,,"P&H Developments (Tim Hopkins), STDB 4",,52.00,,,,,,,,47.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.04,,,,,,,,,,,,,,,,,,,
312,3R,100,ja,C9,Au,Metall,,,Chris Bendall-Probe (Dr. Arbeit); Zusammensetzung unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,3R,101,ja,A4,,Spinel,C1,,Klaus Blum (Dr. Arbeit),5.01,4.95,34.73,9.27,,,10.89,,14.58,2.45,2.47,2.39,,,,,,,,,4.9,2.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.74,,,,,,,,,,,,,,,,,,,
314,3R,102,ja,K9,,Anorthoklas,Kakanui,,"Jarosewich Standard, Smithsonian, NMNH 133868",66.44,,20.12,,,,0.2,,,,0.87,9.31,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.29,,,,,,,,,,,,,,,,,,,
315,3R,103,ja,L10,,Albite,,,"P&H Developments (Tim Hopkins), STDB 12",44.656,,28.382,,,,,,,,6.178,14.638,6.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.042,,,,,,,,,,,,,,,,,,,
316,3R,104,ja,D1,SiO2,,inverser Opal; mit Pt-besputtert; mit Leuchtstoff Y.85Eu.151VO4,,in house STD,97.99,,,,,,,,,,,,,,,,,,,,1,,,,,,0.85,,,,,,,,,,,,,,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
317,3R,105,ja,C8,,,LiF Spektrometerkristall,stöchiometrisch berechnet,in house STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.17,26.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
318,3R,106,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,3R,107,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,3R,108,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,3R,109,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,3R,110,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,3R,111,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,3R,112,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,3R,113,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,3R,114,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,3R,115,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,3R,116,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,3R,117,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,3R,118,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,3R,NN,ja,B1,C,Brilliant,in Cu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,3R,NN,ja,C1,,FC,C-Rohr mit Bohrung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,STD_Fe,,nein,,,,Pulver,,Physik ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.95,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.952,,,,,,,,,,,,,,,,,,,
334,STDmet1,,nein,,Al,,"unbedamoft, Erbsloeh",,Firma Erbsloeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
335,STDmet1,,nein,,AgRM1,,,,AG_Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00302,0.00269,,,,,,,,,,,,,99.96,,,,,,,,,,0.00492,0.00045,,,,,,,,,,,,,,,0.00375,0.00073,,,,,,99.97556,,,,,,,,,,,,,,,,,,,
